iter	Passed	Remaining
0	30	27741
1	55	25147
2	80	24418
3	103	23427
4	130	23526
5	161	24332
6	191	24661
7	219	24704
8	251	25074
9	284	25564
10	313	25571
11	346	25905
12	373	25712
13	404	25840
14	435	25939
15	457	25522
16	491	25755
17	521	25784
18	549	25700
19	576	25576
20	605	25571
21	634	25565
22	663	25522
23	699	25751
24	722	25531
25	756	25649
26	787	25699
27	817	25705
28	847	25681
29	878	25707
30	909	25728
31	943	25840
32	973	25802
33	1006	25868
34	1037	25876
35	1066	25821
36	1096	25823
37	1124	25739
38	1152	25686
39	1181	25643
40	1212	25631
41	1241	25595
42	1273	25614
43	1307	25676
44	1337	25649
45	1364	25564
46	1390	25467
47	1419	25429
48	1447	25383
49	1476	25345
50	1560	26229
51	1619	26665
52	1660	26792
53	1709	27030
54	1749	27138
55	1778	27061
56	1808	27002
57	1838	26947
58	1870	26916
59	1905	26924
60	1937	26898
61	1965	26816
62	1998	26808
63	2028	26749
64	2064	26775
65	2093	26708
66	2124	26668
67	2146	26521
68	2175	26451
69	2204	26391
70	2237	26375
71	2271	26373
72	2304	26360
73	2335	26321
74	2368	26305
75	2396	26237
76	2425	26178
77	2453	26105
78	2484	26070
79	2518	26065
80	2552	26060
81	2586	26053
82	2617	26013
83	2644	25944
84	2673	25888
85	2700	25814
86	2729	25756
87	2759	25717
88	2833	26074
89	2926	26595
90	2963	26601
91	2999	26600
92	3035	26604
93	3065	26550
94	3097	26508
95	3123	26422
96	3153	26362
97	3183	26308
98	3208	26221
99	3237	26162
100	3265	26093
101	3292	26015
102	3318	25939
103	3345	25864
104	3376	25824
105	3405	25768
106	3436	25725
107	3468	25689
108	3498	25646
109	3527	25587
110	3554	25524
111	3588	25505
112	3615	25439
113	3643	25378
114	3678	25362
115	3708	25319
116	3735	25257
117	3761	25181
118	3784	25094
119	3814	25048
120	3840	24979
121	3873	24954
122	3904	24919
123	3928	24840
124	3956	24781
125	3985	24737
126	4019	24720
127	4055	24712
128	4087	24683
129	4120	24661
130	4154	24639
131	4185	24608
132	4212	24548
133	4245	24519
134	4274	24475
135	4308	24456
136	4338	24415
137	4377	24422
138	4405	24370
139	4440	24357
140	4470	24319
141	4563	24619
142	4602	24620
143	4633	24583
144	4660	24523
145	4704	24551
146	4742	24549
147	4781	24554
148	4819	24550
149	4853	24527
150	4883	24484
