iter	Logloss
0	0.2968330853
1	0.2164749839
2	0.1948597079
3	0.181847223
4	0.1751929414
5	0.1711706144
6	0.1672818079
7	0.1653474373
8	0.1616355172
9	0.1600519323
10	0.1590211485
11	0.1580379589
12	0.1570532745
13	0.1562871527
14	0.1561009248
15	0.1560471255
16	0.1558575127
17	0.1551451915
18	0.1549032999
19	0.1547921057
20	0.1543089195
21	0.1540254835
22	0.1537147739
23	0.1535581236
24	0.153448666
25	0.1532807329
26	0.1526405452
27	0.1518269333
28	0.1512986217
29	0.1510439555
30	0.15075517
31	0.1505291675
32	0.1505116189
33	0.1504313878
34	0.150067958
35	0.1497991474
36	0.1496041469
37	0.1492973461
38	0.1492467841
39	0.1490240159
40	0.14884635
41	0.1486559677
42	0.1484977201
43	0.1484305853
44	0.1483882858
45	0.1482884096
46	0.1482702169
47	0.1482337015
48	0.1482212563
49	0.1480004114
50	0.1479540293
51	0.1479473857
52	0.1478492414
53	0.1477626866
54	0.1477132447
55	0.1475758957
56	0.1475699968
57	0.1475394269
58	0.1474121292
59	0.1473857734
60	0.1473672415
61	0.1472305652
62	0.1472080487
63	0.1471433472
64	0.1470549429
65	0.1469946206
66	0.1469841817
67	0.1468633009
68	0.1468509143
69	0.1468319653
70	0.1467868177
71	0.1467336854
72	0.1467013515
73	0.1465818692
74	0.1465562596
75	0.1464141253
76	0.1463158642
77	0.1462767851
78	0.1462108152
79	0.1461679333
80	0.1460773139
81	0.146068623
82	0.1459957822
83	0.1459804293
84	0.1459481492
85	0.1458509597
86	0.1457853086
87	0.1456590361
88	0.1455548139
89	0.1455382534
90	0.1454126778
91	0.1453334206
92	0.1452656045
93	0.1452525909
94	0.1452030108
95	0.1451623417
96	0.1450955297
97	0.1450768691
98	0.1450193983
99	0.1449601834
100	0.1448814039
101	0.1448332553
102	0.1447842604
103	0.1447032159
104	0.1446512141
105	0.1446071786
106	0.1445873511
107	0.1445709846
108	0.1445234252
109	0.1444620549
110	0.1444400522
111	0.1443667325
112	0.1443142489
113	0.1442469454
114	0.144236006
115	0.1442192663
116	0.1442114507
117	0.1441132302
118	0.1440125611
119	0.1440034219
120	0.1438923943
121	0.1438839147
122	0.1438458364
123	0.1437606778
124	0.1436875919
125	0.1436759935
126	0.1436203982
127	0.1435658758
128	0.1435542765
129	0.1435214179
130	0.1434822413
131	0.1434634809
132	0.1434592639
133	0.1434456744
134	0.143432459
135	0.1434149849
136	0.1433812484
137	0.1433687942
138	0.1432652278
139	0.1432248843
140	0.1431779104
141	0.1431319075
142	0.1430805778
143	0.1430546677
144	0.1429734221
145	0.1429297914
146	0.1429135418
147	0.1428738395
148	0.1428333187
149	0.1427940642
150	0.1427940189
