iter	Passed	Remaining
0	31	28318
1	60	27194
2	90	27394
3	117	26513
4	142	25789
5	170	25579
6	197	25379
7	226	25490
8	262	26187
9	295	26573
10	326	26585
11	361	27024
12	393	27093
13	419	26767
14	450	26841
15	477	26606
16	508	26668
17	530	26240
18	563	26351
19	590	26196
20	617	26068
21	652	26291
22	701	26985
23	760	28017
24	800	28262
25	846	28713
26	881	28778
27	912	28671
28	946	28697
29	991	29028
30	1045	29586
31	1088	29786
32	1125	29843
33	1203	30943
34	1253	31260
35	1304	31594
36	1351	31816
37	1394	31922
38	1440	32089
39	1479	32097
40	1529	32344
41	1577	32529
42	1619	32569
43	1653	32460
44	1685	32321
45	1714	32134
46	1754	32144
47	1785	31994
48	1813	31784
49	1842	31613
50	1920	32267
51	1977	32551
52	2033	32797
53	2073	32792
54	2123	32939
55	2168	32999
56	2202	32887
57	2232	32724
58	2263	32564
59	2299	32493
60	2327	32318
61	2360	32208
62	2387	32025
63	2416	31863
64	2446	31729
65	2502	31926
66	2529	31746
67	2555	31574
68	2592	31522
69	2625	31430
70	2657	31330
71	2689	31222
72	2717	31083
73	2743	30922
74	2775	30831
75	2807	30738
76	2858	30853
77	2900	30862
78	2935	30808
79	2978	30831
80	3039	31029
81	3073	30960
82	3108	30899
83	3142	30826
84	3175	30749
85	3214	30724
86	3245	30622
87	3274	30514
88	3307	30440
89	3340	30364
90	3373	30284
91	3403	30188
92	3432	30077
93	3463	29989
94	3497	29934
95	3534	29892
96	3560	29769
97	3591	29684
98	3626	29632
99	3658	29562
100	3684	29438
101	3707	29299
102	3734	29186
103	3767	29123
104	3803	29088
105	3856	29175
106	3897	29179
107	3932	29130
108	3966	29076
109	4000	29018
110	4030	28936
111	4061	28862
112	4093	28798
113	4126	28743
114	4176	28802
115	4212	28762
116	4250	28733
117	4277	28637
118	4310	28581
119	4339	28497
120	4368	28413
121	4397	28330
122	4429	28270
123	4459	28194
124	4487	28112
125	4518	28044
126	4553	28002
127	4587	27952
128	4619	27894
129	4652	27841
130	4682	27770
131	4712	27705
132	4741	27629
133	4803	27746
134	4832	27670
135	4858	27580
136	4887	27505
137	4918	27442
138	4946	27365
139	4981	27329
140	5013	27272
141	5044	27211
142	5079	27171
143	5108	27103
