iter	Logloss
0	0.2968547539
1	0.2180325601
2	0.1938260742
3	0.1831396085
4	0.1744282273
5	0.1701360308
6	0.1649799648
7	0.1633237797
8	0.1619683207
9	0.1612115383
10	0.1605877037
11	0.159504157
12	0.1576634233
13	0.1569662657
14	0.156589948
15	0.1561760996
16	0.1560381105
17	0.1558984885
18	0.1554365361
19	0.1547715876
20	0.1545652966
21	0.1538958622
22	0.1536045839
23	0.1531481148
24	0.1525059748
25	0.1522021705
26	0.1519308556
27	0.1517122291
28	0.1514950295
29	0.1513391608
30	0.1511188536
31	0.1506873948
32	0.1506291318
33	0.1504488786
34	0.1503372354
35	0.1502774683
36	0.1502375862
37	0.1500476379
38	0.1499480981
39	0.1497822221
40	0.1496759399
41	0.1495415965
42	0.1494290599
43	0.1493388349
44	0.1491665762
45	0.1490272675
46	0.1489737954
47	0.1489349013
48	0.1489169388
49	0.1488843797
50	0.1488562255
51	0.1487960634
52	0.1486901261
53	0.1486667266
54	0.1486233984
55	0.1485262022
56	0.1484964119
57	0.1484548451
58	0.1484200052
59	0.1483064667
60	0.1482453107
61	0.1482104595
62	0.1481505161
63	0.1480758739
64	0.1480489784
65	0.1480043356
66	0.1479567529
67	0.1478683923
68	0.1477451148
69	0.1476990183
70	0.1476462755
71	0.1475397354
72	0.1474651066
73	0.1473450238
74	0.1473107098
75	0.1473023332
76	0.1472649651
77	0.1472378204
78	0.147193538
79	0.1471526625
80	0.1471212828
81	0.1470978605
82	0.1470812685
83	0.1470414722
84	0.1470137905
85	0.146907118
86	0.1468743166
87	0.1468131497
88	0.1468068913
89	0.1467898173
90	0.1467773776
91	0.1467549212
92	0.1466764395
93	0.1466221238
94	0.1465775023
95	0.1465236666
96	0.1464814645
97	0.1464587979
98	0.1464122287
99	0.146390288
100	0.1463201106
101	0.1462331
102	0.1462156606
103	0.1461434919
104	0.1461151122
105	0.1461092763
106	0.1459966127
107	0.145971069
108	0.1459269838
109	0.1459013625
110	0.1458508437
111	0.1458331422
112	0.145798981
113	0.1457328628
114	0.1456808065
115	0.1456487573
116	0.1456241151
117	0.1455835701
118	0.1455224625
119	0.1455063814
120	0.1454708787
121	0.1453937367
122	0.1452844513
123	0.1452267369
124	0.145219658
125	0.1451895377
126	0.1451542183
127	0.1451122463
128	0.1450331969
129	0.1449900133
130	0.1449358891
131	0.1449231736
132	0.1448785198
133	0.1448684716
134	0.1447828246
135	0.1447700939
136	0.1447337423
137	0.1446796266
138	0.144628466
139	0.1445935751
140	0.14450359
141	0.1444923741
142	0.1444785782
143	0.1444410404
