iter	Passed	Remaining
0	30	27503
1	58	26632
2	87	26486
3	115	26137
4	141	25563
5	171	25840
6	204	26318
7	230	25978
8	256	25648
9	276	24812
10	305	24932
11	339	25340
12	369	25427
13	399	25520
14	429	25597
15	464	25870
16	479	25151
17	508	25162
18	539	25221
19	568	25249
20	588	24863
21	612	24682
22	647	24930
23	673	24820
24	701	24793
25	726	24646
26	761	24840
27	788	24791
28	815	24722
29	849	24858
30	876	24792
31	904	24756
32	933	24756
33	961	24708
34	985	24580
35	1014	24577
36	1045	24601
37	1074	24596
38	1103	24597
39	1135	24641
40	1167	24693
41	1197	24690
42	1230	24759
43	1260	24749
44	1291	24760
45	1315	24649
46	1343	24602
47	1369	24544
48	1399	24541
49	1429	24535
50	1461	24556
51	1491	24552
52	1525	24615
53	1554	24581
54	1585	24593
55	1615	24584
56	1665	24869
57	1719	25194
58	1771	25490
59	1828	25838
60	1878	26077
61	1913	26107
62	1944	26075
63	1976	26063
64	2010	26080
65	2041	26048
66	2070	25988
67	2098	25922
68	2127	25871
69	2162	25892
70	2195	25878
71	2224	25823
72	2247	25709
73	2276	25655
74	2306	25618
75	2340	25625
76	2367	25554
77	2400	25539
78	2429	25494
79	2456	25429
80	2488	25403
81	2522	25409
82	2550	25350
83	2578	25298
84	2607	25249
85	2639	25230
86	2674	25234
87	2718	25333
88	2754	25348
89	2790	25360
90	2820	25318
91	2848	25267
92	2910	25502
93	2944	25496
94	2976	25470
95	3007	25435
96	3036	25390
97	3067	25352
98	3095	25297
99	3124	25249
100	3156	25223
101	3189	25206
102	3217	25149
103	3250	25132
104	3281	25092
105	3315	25082
106	3346	25048
107	3377	25020
108	3404	24955
109	3432	24899
110	3466	24889
111	3494	24839
112	3530	24835
113	3559	24792
114	3587	24737
115	3619	24713
116	3649	24670
117	3678	24624
118	3706	24572
119	3738	24549
120	3766	24494
121	3794	24446
122	3827	24425
123	3858	24396
