iter	Logloss
0	0.2972144277
1	0.2168684645
2	0.1967763337
3	0.1858342764
4	0.177432843
5	0.1719784635
6	0.1672266634
7	0.1632717024
8	0.1606646314
9	0.1602145955
10	0.1587975562
11	0.1586935612
12	0.1580983638
13	0.1575535907
14	0.1571306895
15	0.1566773791
16	0.1566093519
17	0.1559985646
18	0.1557854517
19	0.1556633855
20	0.1556502405
21	0.155238651
22	0.1550314774
23	0.1548852361
24	0.1542940093
25	0.1537223111
26	0.1529811711
27	0.1520430113
28	0.1516700477
29	0.151285356
30	0.1509934555
31	0.1507373586
32	0.1505711442
33	0.1503616271
34	0.1501258146
35	0.1499282999
36	0.1498573831
37	0.1497201208
38	0.1495675138
39	0.1492622847
40	0.1491884505
41	0.14908435
42	0.149035514
43	0.1490040412
44	0.1488944542
45	0.1487934627
46	0.1487243835
47	0.1485745044
48	0.1484247985
49	0.1484025944
50	0.1482853306
51	0.1482403064
52	0.1482027412
53	0.1481632196
54	0.1481173305
55	0.1479953208
56	0.1479570521
57	0.1478901587
58	0.1478644281
59	0.1477980197
60	0.1477732077
61	0.1476925639
62	0.1476732529
63	0.1476334674
64	0.1475841857
65	0.1474095143
66	0.1473590962
67	0.1473411042
68	0.1472760783
69	0.1472111128
70	0.1471671209
71	0.1471109619
72	0.1470772183
73	0.1470237398
74	0.1470100848
75	0.1469729906
76	0.1469462148
77	0.1468981149
78	0.1468837507
79	0.1467867943
80	0.1467562884
81	0.146678089
82	0.1466400485
83	0.1466343878
84	0.1465957166
85	0.1465822454
86	0.1464913735
87	0.1464602886
88	0.1464478633
89	0.1464116666
90	0.1463261479
91	0.1463181083
92	0.1462657404
93	0.146217467
94	0.1461642991
95	0.1461579873
96	0.1461478454
97	0.1461322192
98	0.1460821272
99	0.1460532096
100	0.1459534321
101	0.14589382
102	0.1458504584
103	0.1458449971
104	0.1457760256
105	0.1456983927
106	0.1456721
107	0.1456100734
108	0.1455734369
109	0.1455385503
110	0.1455045262
111	0.1454305563
112	0.1453977906
113	0.145362853
114	0.1452909126
115	0.1452594686
116	0.1452412928
117	0.1451937488
118	0.1451588339
119	0.1450820056
120	0.1450376276
121	0.1449580851
122	0.1449253469
123	0.144897812
