iter	Logloss
0	0.3528799798
1	0.2392493456
2	0.2022339412
3	0.1805303406
4	0.169898849
5	0.163630194
6	0.1595631075
7	0.1559666216
8	0.1541222308
9	0.1524999146
10	0.1514079655
11	0.1497316052
12	0.148842558
13	0.1483022713
14	0.1476576621
15	0.147291265
16	0.1469789405
17	0.1464162121
18	0.1461271115
19	0.1461266248
20	0.1459719675
21	0.1455072659
22	0.1453987744
23	0.1450275958
24	0.1447494271
25	0.1446777105
26	0.1444723557
27	0.1443988931
28	0.1436951764
29	0.1435254528
30	0.1431288588
31	0.1429042183
32	0.1425465823
33	0.1421904763
34	0.1417794837
35	0.1415966196
36	0.141302476
37	0.1410416158
38	0.14084281
39	0.1404408599
40	0.1401834388
41	0.140045353
42	0.1399479126
43	0.1397536758
44	0.1394888715
45	0.1392346189
46	0.1391496991
47	0.1388937489
48	0.1384558618
49	0.1382765344
