iter	Logloss
0	0.556397272
1	0.463523782
2	0.3918999309
3	0.3560946937
4	0.3210233112
5	0.2902974272
6	0.2628749555
7	0.247402842
8	0.2405022501
9	0.2275012753
10	0.2203487958
11	0.2156919122
12	0.2103997257
13	0.2051950752
14	0.1992138789
15	0.1926683548
16	0.1895200724
17	0.1866601773
18	0.1845831045
19	0.1830639369
20	0.1820908813
21	0.1801187568
22	0.1775041167
23	0.1761062274
24	0.1749261683
25	0.1733980343
26	0.1719167636
27	0.171126644
28	0.1704240778
29	0.1696236116
30	0.1687551817
31	0.1685435381
32	0.1678069518
33	0.1671687535
34	0.1658345996
35	0.1654251077
36	0.1649314759
37	0.1639697876
38	0.1627427138
39	0.1620395459
40	0.1612571197
41	0.1608766926
42	0.1605348277
43	0.1604294564
44	0.1600782419
45	0.1599049364
46	0.1595902879
47	0.1593869478
48	0.1589471436
49	0.1588756006
50	0.1586191142
51	0.1585296057
52	0.1583880139
53	0.1580661237
54	0.1578957388
55	0.157782802
56	0.1576404172
57	0.157583763
58	0.157309717
59	0.1570652663
60	0.1567482978
61	0.1566486786
62	0.1566486753
63	0.1563176166
64	0.1562658738
65	0.1561032637
66	0.1559717539
67	0.1558542509
68	0.1557042591
69	0.1556530146
70	0.1556314397
71	0.1553366771
72	0.1552067896
73	0.155109423
74	0.1549274752
75	0.1548743298
76	0.1548255985
77	0.1547817948
78	0.1547577027
79	0.1545576839
80	0.1545215754
81	0.1544443642
82	0.154397274
83	0.1543386865
84	0.154253421
85	0.1542060536
86	0.154065203
87	0.153947849
88	0.1538504019
89	0.1537651871
90	0.1536877874
91	0.1535082754
92	0.1533550566
93	0.1532577239
94	0.1532303894
95	0.1530581612
96	0.1529619228
97	0.1529425196
98	0.1529122447
99	0.1528331628
100	0.1528076645
101	0.1527185619
102	0.1526860436
103	0.1526243055
104	0.1525535848
105	0.1524880553
106	0.1524261644
107	0.1523948813
108	0.1523765714
109	0.1522951748
110	0.1522497651
111	0.1521947094
112	0.1521931687
113	0.152128738
114	0.1520862176
115	0.1520235037
116	0.1519525809
117	0.1519075638
118	0.1518795552
119	0.1518558784
120	0.1516784062
121	0.1516514094
122	0.1516184203
123	0.1516026964
124	0.1515532821
125	0.1513900189
126	0.151265468
127	0.1512093373
128	0.1511145935
129	0.1510298325
130	0.1509667295
131	0.1509026855
132	0.1508539702
133	0.1507928785
134	0.1507231146
135	0.1506385973
136	0.1504702545
137	0.1503845621
138	0.1502889293
139	0.1501661352
140	0.1501087733
141	0.1500191214
142	0.1499421762
143	0.1498259997
144	0.1497184245
145	0.1496378549
146	0.1494841703
147	0.1494423841
148	0.1493340498
149	0.1492840299
150	0.1491059685
151	0.1490084144
152	0.1489000381
153	0.1487846697
154	0.1486739237
155	0.1485830531
156	0.1484605042
157	0.1483666758
158	0.1482837661
159	0.1482070949
160	0.1481115149
161	0.1479789959
162	0.1478948846
163	0.1477976903
164	0.1476706033
165	0.1475451975
166	0.1474633996
167	0.1473564396
168	0.1472619551
169	0.1471967845
170	0.1471515016
171	0.1470580887
172	0.1469956079
173	0.1469217321
174	0.146871908
175	0.1467903922
176	0.1467226611
177	0.1466390513
178	0.1465347772
179	0.1464982547
180	0.1463897137
181	0.1462852389
182	0.1462430129
183	0.1461668247
184	0.1461008239
185	0.1460538822
186	0.1460524225
187	0.1459916928
188	0.1459331739
189	0.145891448
190	0.1458373108
191	0.1457516234
192	0.1456854083
193	0.1456411277
194	0.1456282687
195	0.1456010691
196	0.1455688616
197	0.1455083903
198	0.1454651578
199	0.1454132222
200	0.1453632582
201	0.1453086453
202	0.1452823684
203	0.1452624191
204	0.1451962672
205	0.1451367264
206	0.1451315793
207	0.145110563
208	0.1451064806
209	0.1450738682
210	0.1450482511
211	0.145028732
212	0.1449695162
213	0.1449092029
214	0.1448574299
215	0.1448078605
216	0.144760101
217	0.1446996408
218	0.1446951238
219	0.1446417514
220	0.1445837719
221	0.1445753496
222	0.1445288231
223	0.1445189259
224	0.1444406843
225	0.1444304218
226	0.1444079641
227	0.1443855843
228	0.1443480717
229	0.1443128821
230	0.1442482509
231	0.1442164217
232	0.1441814804
233	0.1441750505
234	0.1441475389
235	0.1441228563
236	0.1440996103
237	0.1440718276
238	0.1440168133
239	0.1440084939
240	0.1439988892
241	0.1439726942
242	0.1438825015
243	0.1438538803
244	0.1438293959
245	0.1438112869
246	0.143802777
247	0.1437513795
248	0.1436813688
249	0.143648524
250	0.1436225373
251	0.1435993075
252	0.1435745735
253	0.1435647255
254	0.1435479049
255	0.1435389313
256	0.1434891063
257	0.1434703344
258	0.1434234295
259	0.1433890292
260	0.1433672017
261	0.1433169887
262	0.1432846698
263	0.1432599566
264	0.1432488449
265	0.1432313392
266	0.1432298153
267	0.1431999079
268	0.1431917821
269	0.1431690242
270	0.1431225156
271	0.1430894658
272	0.1430055788
273	0.1429802733
274	0.1429535023
275	0.1429394722
276	0.1429035681
277	0.1428613247
278	0.1428164528
279	0.1427967865
280	0.1427843346
281	0.1427533557
282	0.1427194521
283	0.142708331
284	0.142701572
285	0.1426865429
286	0.1426633091
287	0.1426437873
288	0.1426056948
289	0.1426007131
290	0.1425919679
291	0.1425399815
292	0.142523541
293	0.142493504
294	0.142485363
295	0.1424081736
296	0.1423664524
297	0.1423214943
298	0.1423026764
299	0.1422644706
300	0.1422406208
301	0.142226385
302	0.1421760805
303	0.1421464736
304	0.1421183942
305	0.1420953278
306	0.1420615475
307	0.142022866
308	0.1419927196
309	0.1419680554
310	0.1419029107
311	0.1418832031
312	0.1418280081
313	0.1418002324
314	0.1417686338
315	0.1417350585
316	0.1416721963
317	0.1416680375
318	0.1416604946
319	0.1416593816
320	0.1416312475
321	0.1416299733
322	0.1416257922
323	0.141563526
324	0.1415251992
325	0.1415180306
326	0.141439834
327	0.1414091098
328	0.141389102
329	0.1413551301
330	0.1413451599
331	0.1413127251
332	0.141258169
333	0.1411971326
334	0.1411294437
335	0.1411077826
336	0.1410704419
337	0.1410092098
338	0.1409901332
339	0.1409749103
340	0.1409234449
341	0.1408953651
342	0.1408595976
343	0.1408225209
344	0.1407686086
345	0.1407293869
346	0.1406419325
347	0.1406136752
348	0.1405781167
349	0.1405652465
350	0.1405491407
351	0.1405165908
352	0.1404825682
353	0.1404687441
354	0.1404527812
355	0.1404245223
356	0.1404074537
357	0.1403910526
358	0.1403802133
359	0.1403552519
360	0.1402988628
361	0.1402628336
362	0.1402370534
363	0.1402192152
364	0.1402043493
365	0.1402042921
366	0.1401317715
367	0.1401179975
368	0.1400898125
369	0.140068519
370	0.1400492786
371	0.1400226548
372	0.1399882761
373	0.139956029
374	0.1399456731
375	0.1399446627
376	0.1399295139
377	0.139923356
378	0.1399073106
379	0.1399055974
380	0.1398476627
381	0.1398254754
382	0.1398102247
383	0.1398073728
384	0.1398060533
385	0.139774995
386	0.1397367524
387	0.1397085324
388	0.1396858201
389	0.1396324532
390	0.1396154617
391	0.1396109131
392	0.139565767
393	0.1395488941
394	0.1395373066
395	0.1394954892
396	0.139448564
397	0.1393708053
398	0.1393384694
399	0.1393262284
400	0.1393149108
401	0.1392903815
402	0.139261215
403	0.1392361394
404	0.1391967387
405	0.1391919089
406	0.1391797998
407	0.1391657742
408	0.1391273966
409	0.1390931869
410	0.1390609166
411	0.1389987267
412	0.1389894042
413	0.1389484781
414	0.1389313729
415	0.1389192692
416	0.1388963426
417	0.13884588
418	0.1388167884
419	0.1387779543
420	0.1387452131
421	0.1386896081
422	0.1386454957
423	0.1386446572
424	0.1386131093
425	0.138569956
426	0.1385384135
427	0.1385178534
428	0.1385173328
429	0.1385148786
430	0.1384879704
431	0.1384758368
432	0.1384473289
433	0.1384214582
434	0.138400591
435	0.1383760107
436	0.1383368638
437	0.1383159226
438	0.1382579358
439	0.1381887116
440	0.1381802334
441	0.1381459413
442	0.1381136227
443	0.1380552286
444	0.1380378498
445	0.138019502
446	0.1380073181
447	0.1379454948
448	0.1379092887
449	0.1378965491
450	0.1378688114
451	0.1378432202
452	0.1378132869
453	0.1377792906
454	0.1377433709
455	0.1377048847
456	0.1376744316
457	0.1376603019
458	0.1375961957
459	0.13758117
460	0.1375235219
461	0.1375217493
462	0.1374438268
463	0.1374293136
464	0.1374049568
465	0.1374016138
466	0.1373842563
467	0.1373694535
468	0.1373320636
469	0.1373067046
470	0.1372942728
471	0.1372741099
472	0.1372454194
473	0.1372000531
474	0.1371917146
475	0.1371230588
476	0.1371073515
477	0.137081058
478	0.1370682449
479	0.1370569142
480	0.1370404703
481	0.137012242
482	0.1369995927
483	0.1369817487
484	0.1369788436
485	0.1369617419
486	0.1369560714
487	0.1369133018
488	0.1368611666
489	0.1368041014
490	0.1367986322
491	0.1367557553
492	0.1367470821
493	0.1367261364
494	0.1366909613
495	0.1366815378
496	0.1366583634
497	0.136644548
498	0.1366321311
499	0.1366032507
500	0.1365967563
501	0.1365744659
502	0.1365640481
503	0.1365612908
504	0.1365576064
505	0.1365127396
506	0.1364437413
507	0.1363754849
508	0.1363549591
509	0.136341138
510	0.1363009157
511	0.1362831511
512	0.1362763844
513	0.136251061
514	0.1361907231
515	0.1361525362
516	0.1361013945
517	0.1360893588
518	0.1360853019
519	0.1360582256
520	0.1360295971
521	0.1360026136
522	0.1359663806
523	0.1359580605
524	0.1359347108
525	0.1359023894
526	0.1358648859
527	0.1358539045
528	0.1358368592
529	0.1357849451
530	0.1357453305
531	0.1357300532
532	0.1357071194
533	0.1356953045
534	0.1356337734
535	0.1356131405
536	0.1356065163
537	0.1355425526
538	0.1355254118
539	0.135463623
540	0.1354308349
541	0.1354028559
542	0.135348075
543	0.1352842371
544	0.1352136201
545	0.1351971171
546	0.1351870085
