iter	Passed	Remaining
401	18407	6639
402	18453	6593
403	18490	6544
404	18535	6499
405	18578	6452
406	18626	6407
407	18668	6359
408	18714	6314
409	18759	6268
410	18807	6223
411	18870	6183
412	18916	6137
413	18959	6090
414	19006	6045
415	19050	5998
416	19093	5952
417	19143	5908
418	19187	5861
419	19238	5817
420	19284	5771
421	19335	5727
422	19382	5681
423	19422	5634
424	19466	5588
425	19510	5541
426	19557	5496
427	19605	5451
428	19649	5404
429	19689	5357
430	19731	5310
431	19773	5263
432	19821	5218
433	19871	5173
434	19919	5128
435	19965	5083
436	20019	5039
437	20061	4992
438	20106	4946
439	20159	4902
440	20195	4854
441	20245	4809
442	20287	4762
443	20331	4716
444	20378	4671
445	20423	4625
446	20465	4578
447	20506	4531
448	20555	4486
449	20599	4440
450	20644	4394
451	20696	4349
452	20741	4304
453	20786	4258
454	20837	4213
455	20886	4168
456	20938	4123
457	20984	4077
458	21027	4031
459	21062	3983
460	21107	3937
461	21149	3891
462	21196	3845
463	21254	3801
464	21301	3756
465	21342	3709
466	21399	3665
467	21443	3619
468	21492	3574
469	21539	3528
470	21589	3483
471	21634	3437
472	21684	3392
473	21726	3346
474	21760	3298
475	21812	3253
476	21853	3207
477	21903	3161
478	21943	3115
479	21984	3068
480	22030	3022
481	22074	2976
482	22114	2930
483	22148	2882
484	22187	2836
485	22230	2790
486	22281	2745
487	22347	2701
488	22407	2657
489	22587	2627
490	22640	2582
491	22690	2536
492	22748	2491
493	22806	2446
494	22861	2401
495	22907	2355
496	22973	2311
497	23031	2266
498	23072	2219
499	23115	2172
500	23154	2125
501	23202	2079
502	23252	2034
503	23293	1987
504	23338	1940
505	23390	1895
506	23440	1849
507	23495	1803
508	23548	1758
509	23596	1711
510	23637	1665
511	23681	1618
512	23726	1572
513	23783	1526
514	23828	1480
515	23875	1434
516	23924	1388
517	23973	1342
518	24022	1295
519	24070	1249
520	24120	1203
521	24166	1157
522	24225	1111
523	24276	1065
524	24329	1019
525	24370	972
526	24410	926
527	24459	880
528	24508	833
529	24563	787
530	24618	741
531	24669	695
532	24721	649
533	24777	603
534	24841	557
535	24899	510
536	24955	464
537	25014	418
538	25071	372
539	25136	325
540	25189	279
541	25258	233
542	25332	186
543	25403	140
544	25471	93
545	25528	46
546	25573	0
